
,教育階段：高中職,製表日期：2018/5/28
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,腦性麻痺,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,大同高中,0,0,0,0,0,0,0,0,3,0,0,0,0,3
,內埔農工,6,0,0,0,2,0,0,1,25,2,2,0,1,39
,日新工商,37,0,0,0,1,0,0,0,4,2,1,0,0,45
,民生家商,29,0,3,0,0,2,6,3,29,0,4,0,0,76
,佳冬高農,54,1,2,0,1,1,3,0,31,3,9,0,0,105
,來義高中,1,0,0,0,0,0,1,0,1,0,0,0,0,3
,東港海事,13,1,0,0,3,2,2,2,19,0,2,0,0,44
,東港高中,0,0,0,0,0,1,1,0,0,0,0,0,1,3
,屏北高中,0,0,0,0,1,0,2,0,1,1,1,0,0,6
,屏東女中,0,0,0,0,1,1,2,0,0,0,1,0,0,5
,屏東高工,71,1,4,0,1,0,6,3,29,7,15,0,0,137
,屏東高中,0,0,0,0,1,0,2,0,2,0,4,0,0,9
,屏榮高中,9,0,2,0,6,3,5,1,37,3,5,0,0,71
,恆春工商,22,0,0,0,2,1,3,0,7,0,0,0,0,35
,美和高中,0,0,0,0,0,0,1,1,1,0,0,0,0,3
,陸興高中,0,0,0,0,0,0,0,0,2,0,0,0,0,2
,華洲工家,25,1,0,0,0,0,0,0,5,1,2,0,0,34
,潮州高中,0,0,2,0,1,0,3,0,1,0,2,0,0,9
,總計,267,4,13,0,20,11,37,11,197,19,48,0,2,629
