
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,嚴重情緒障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他顯著障礙,小計
,大同高中,0,0,0,0,0,0,0,1,0,0,0,0,1
,內埔農工,2,1,1,0,2,2,0,8,0,2,0,3,21
,日新工商,45,0,0,1,4,1,0,9,3,1,0,3,67
,民生家商,11,0,5,1,2,2,1,25,0,0,0,6,53
,佳冬高農,31,2,1,1,1,0,0,16,6,3,0,5,66
,來義高中,2,0,0,0,0,0,0,5,0,0,0,0,7
,東港海事,2,0,1,1,1,0,0,9,1,0,0,1,16
,屏北高中,0,0,0,0,2,1,0,2,0,0,0,0,5
,屏東女中,0,0,2,0,3,1,0,0,0,0,0,1,7
,屏東高工,53,1,2,1,6,1,0,20,14,2,0,4,104
,屏東高中,0,0,2,0,1,0,1,0,0,1,0,0,5
,屏榮高中,7,1,5,1,6,3,0,21,3,1,0,13,61
,恆春工商,22,2,0,1,3,6,1,10,2,1,0,1,49
,美和高中,0,0,0,0,2,0,0,1,0,0,0,0,3
,陸興高中,0,0,0,0,1,0,0,0,0,0,0,0,1
,華洲工家,36,0,1,1,1,0,0,18,2,2,0,3,64
,新基高中,2,0,0,0,0,0,0,2,0,0,0,1,5
,潮州高中,0,1,0,1,0,0,0,0,0,0,0,2,4
,總計,213,8,20,9,35,17,3,147,31,13,0,43,539
