
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,士林高商,35,3,1,0,9,9,7,7,4,16,0,2,93
,大同高中,0,1,1,0,4,3,2,0,0,1,0,0,12
,大安高工,35,1,3,0,8,6,5,8,5,15,0,1,87
,大直高中,0,2,1,0,0,3,3,1,0,3,0,0,13
,大理高中,1,0,0,0,0,0,0,1,0,4,0,1,7
,中山女中,0,0,2,0,7,6,2,0,0,0,0,0,17
,中正高中,0,2,2,0,2,1,2,4,2,5,0,3,23
,中崙高中,0,0,1,0,3,2,0,2,1,2,0,0,11
,內湖高工,34,1,2,0,1,2,7,11,5,8,0,0,71
,內湖高中,0,0,2,0,2,2,1,1,1,2,0,0,11
,木柵高工,37,0,0,0,2,2,1,2,2,12,0,0,58
,北一女中,0,3,11,0,17,11,1,1,1,4,0,0,49
,台北商業技術學院附高商進校,0,0,0,0,0,1,0,0,0,0,0,0,1
,永春高中,0,0,2,0,0,0,0,0,1,0,0,0,3
,成功高中,0,3,5,0,3,7,2,2,0,17,0,1,40
,成淵高中,0,1,2,0,3,5,1,0,0,3,0,0,15
,百齡高中,0,0,0,0,0,1,2,0,0,0,0,0,3
,西松高中,0,0,1,0,3,0,1,0,0,1,0,0,6
,私立十信高中,4,0,0,1,5,3,3,10,0,3,0,1,30
,私立大同高中,0,0,0,0,2,0,0,9,0,4,0,1,16
,私立大誠高中,1,0,0,0,0,2,0,9,0,0,0,0,12
,私立文德女中,0,0,0,0,1,1,0,2,0,0,0,0,4
,私立方濟高中,0,0,2,0,1,1,3,1,0,2,0,0,10
,私立再興高中,0,0,0,0,0,0,0,0,0,2,0,0,2
,私立志仁高中職業進修學校,1,0,0,0,2,5,4,2,0,0,0,1,15
,私立育達高職,25,1,5,2,9,4,10,61,2,21,0,2,142
,私立協和工商,12,0,1,1,6,5,8,59,2,13,0,2,109
,私立延平高中,0,0,0,0,3,0,0,0,0,0,0,0,3
,私立東山高中,0,0,0,0,1,0,0,0,0,1,0,0,2
,私立東方工商,6,0,5,0,1,2,2,31,2,0,0,1,50
,私立金甌女中,5,0,4,0,6,4,4,3,3,4,0,0,33
,私立南華高中,0,0,1,0,1,0,2,0,0,2,0,0,6
,私立泰北高中,3,1,5,0,6,1,8,33,0,11,0,0,68
,私立祐德高中,0,0,0,0,0,0,2,4,0,0,0,0,6
,私立強恕高中,8,0,0,0,4,0,0,5,1,3,0,1,22
,私立惇敘工商,41,0,0,0,3,1,10,34,5,8,0,1,103
,私立喬治工商,7,0,2,0,0,5,1,20,0,1,0,2,38
,私立景文高中,0,1,4,1,3,4,5,13,1,14,0,0,46
,私立華岡藝術學校,0,0,0,0,1,0,1,3,0,2,0,0,7
,私立華興中學,0,0,0,0,0,0,1,0,0,0,0,0,1
,私立開平餐飲學校,3,1,1,0,1,1,7,29,1,3,0,0,47
,私立開南商工,5,1,2,0,1,5,2,34,1,7,0,1,59
,私立滬江高中,7,0,3,1,5,4,3,35,1,7,0,2,68
,私立稻江高商,1,0,0,0,2,3,3,10,0,2,0,1,22
,私立稻江護家,50,0,5,0,2,5,6,33,2,9,0,1,113
,私立衛理女中,0,0,0,0,0,0,0,1,0,0,0,0,1
,私立靜修女中,0,0,1,0,0,2,0,3,0,2,0,0,8
,私立薇閣高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,育成高中,0,0,1,0,1,0,3,1,0,1,0,0,7
,和平高中,0,0,1,0,1,3,0,1,0,1,0,0,7
,明倫高中,0,0,1,0,2,0,2,1,0,1,0,0,7
,松山工農,31,1,0,0,4,6,5,7,5,20,0,0,79
,松山家商,36,4,3,0,9,10,4,7,1,14,0,1,89
,松山高中,0,8,2,0,4,2,3,0,2,6,0,0,27
,南港高工,38,1,1,0,1,2,4,26,2,11,0,0,86
,南港高中,0,0,0,0,1,1,2,1,0,3,0,1,9
,南湖高中,0,0,1,0,2,2,2,0,0,3,0,2,12
,建國中學,0,3,10,0,16,9,3,6,2,36,0,5,90
,政大附中,0,0,0,0,4,3,2,1,0,4,0,1,15
,師大附中,0,3,12,1,7,7,4,2,0,14,0,4,54
,復興高中,0,0,1,0,2,2,1,2,1,1,0,2,12
,景美女中,0,0,0,0,3,2,0,0,0,0,0,1,6
,華江高中,0,0,1,0,2,1,0,0,0,1,0,0,5
,陽明高中,0,0,1,0,1,2,0,1,0,1,0,0,6
,萬芳高中,0,0,0,0,0,1,1,1,0,2,0,0,5
,麗山高中,0,0,1,0,1,0,2,3,0,6,0,0,13
,總計,426,42,113,7,191,173,160,544,56,339,0,42,2093
