
,,智能障礙,視覺障礙,聽覺障礙,語言障礙,肢體障礙,身體病弱,情緒行為障礙,學習障礙,多重障礙,自閉症,發展遲緩,其他障礙,小計
,土庫商工,0,1,2,0,4,3,1,7,0,0,0,1,19
,大成商工,34,2,0,1,9,8,4,70,1,1,0,2,132
,大德工商,96,0,4,1,5,4,4,37,3,0,0,1,155
,斗六家商,0,2,4,1,3,4,2,6,1,0,0,0,23
,斗六高中,0,2,1,1,2,1,0,0,1,0,0,0,8
,北港高中,0,2,1,0,4,0,0,0,0,0,0,0,7
,北港農工,43,0,0,0,0,2,2,17,0,0,0,1,65
,巨人高中,0,0,0,0,0,1,0,0,0,0,0,0,1
,正心中學,0,0,0,0,1,0,0,0,0,0,0,0,1
,永年高中,0,0,0,0,1,1,0,0,0,0,0,0,2
,西螺農工,1,1,4,0,1,3,1,19,0,1,0,2,33
,虎尾高中,0,0,0,0,3,1,1,0,0,1,0,1,7
,虎尾農工,77,1,4,2,5,1,2,23,2,1,0,1,119
,麥寮高中,0,0,0,0,0,0,0,2,0,0,0,0,2
,揚子高中,0,0,1,0,0,0,0,0,0,0,0,0,1
,義峰高中,2,0,3,0,0,4,0,12,1,0,0,0,22
,福智高中,0,0,0,0,0,1,0,1,0,0,0,0,2
,維多利亞實驗高級中學,0,0,0,0,0,0,0,0,0,0,0,1,1
,總計,253,11,24,6,38,34,17,194,9,4,0,10,600
